"03:58.948","Nidhogg casts  Gnash and Lash on Nidhogg",""
"03:59.216","Nidhogg casts  Eye of the Tyrant",""
"04:01.230","Nidhogg 4 casts  Geirskogul",""
"04:01.230","Nidhogg 5 casts  Geirskogul",""
"04:02.615","Nidhogg casts  Gnashing Wheel",""
"04:05.121","Nidhogg 1 casts  Darkdragon Dive on Serena Nyx",""
"04:05.121","Nidhogg 2 casts  Darkdragon Dive on Soft Enrage",""
"04:05.121","Nidhogg 3 casts  Darkdragon Dive on Watashia Kamidesu",""
"04:05.748","Nidhogg casts  Lashing Wheel",""
"04:09.898","Nidhogg casts  attack on Soft Enrage",""
"04:12.222","Nidhogg 1 casts  Geirskogul",""
"04:12.222","Nidhogg 2 casts  Geirskogul",""
"04:12.222","Nidhogg 3 casts  Geirskogul",""
"04:13.027","Nidhogg casts  attack on Soft Enrage",""
"04:17.179","Nidhogg casts  Drachenlance on Nidhogg",""
"04:17.850","Nidhogg 1 casts  Drachenlance",""
"04:24.283","Nidhogg 5 casts  Darkdragon Dive on Alex Sarudani",""
"04:24.283","Nidhogg 1 casts  Darkdragon Dive on Cleon Vortigern",""
"04:24.283","Nidhogg 2 casts  Darkdragon Dive",""
"04:24.283","Nidhogg 3 casts  Darkdragon Dive",""
"04:31.340","Nidhogg casts  Soul Tether on Soft Enrage",""
"04:31.340","Nidhogg 3 casts  Soul Tether on Serena Nyx",""
"04:31.384","Nidhogg 5 casts  Geirskogul",""
"04:31.384","Nidhogg 1 casts  Geirskogul",""
"04:31.384","Nidhogg 2 casts  Geirskogul",""
"04:36.477","Nidhogg casts  attack on Soft Enrage",""
"04:39.597","Nidhogg casts  attack on Soft Enrage",""
"04:42.720","Nidhogg casts  attack on Soft Enrage",""
"04:45.845","Nidhogg casts  attack on Soft Enrage",""
"04:48.968","Nidhogg casts  attack on Soft Enrage",""
"04:55.081","Nidhogg casts  Drachenlance on Nidhogg",""
"04:55.753","Nidhogg 1 casts  Drachenlance",""
"04:57.228","Nidhogg begins casting  Revenge of the Horde on Nidhogg (10.70 sec)",""
"05:18.462","Right Eye 1 casts  unknown_717a",""
"05:18.462","Left Eye 1 casts  unknown_717a",""
"05:25.694","Right Eye 1 casts  attack on Soft Enrage",""
"05:25.694","Left Eye 1 casts  attack on Serena Nyx",""
"05:28.715","Estinien 1 casts  Resentment",""
"05:28.804","Right Eye 1 casts  attack on Soft Enrage",""
"05:28.804","Left Eye 1 casts  attack on Serena Nyx",""
"05:30.949","Right Eye 1 casts  attack on Soft Enrage",""
"05:30.949","Left Eye 1 casts  attack on Serena Nyx",""
"05:37.103","Right Eye 1 casts  Hatebound on Right Eye 1",""
"05:37.103","Left Eye 1 casts  Hatebound on Left Eye 1",""
"05:41.325","Right Eye 1 casts  attack on Soft Enrage",""
"05:41.325","Left Eye 1 casts  attack on Serena Nyx",""
"05:44.523","Right Eye 1 casts  attack on Soft Enrage",""
"05:44.523","Left Eye 1 casts  attack on Serena Nyx",""
"05:45.011","The Gilded Price 1 casts  Flare Nova",""
"05:45.190","The Gilded Price 2 casts  Flare Nova",""
"05:47.683","Right Eye 1 casts  attack on Soft Enrage",""
"05:47.683","Left Eye 1 casts  attack on Serena Nyx",""
"05:49.284","The Azure Price 1 casts  Flare Star on Cleon Vortigern",""
"05:50.486","The Azure Price 2 casts  Flare Star on Watashia Kamidesu",""
"05:50.798","Right Eye 1 casts  attack on Soft Enrage",""
"05:50.798","Left Eye 1 casts  attack on Serena Nyx",""
"05:50.976","The Azure Price 3 casts  Flare Star on Alex Sarudani",""
"05:51.289","The Azure Price 4 casts  Flare Star on Eazy Peazy",""
"05:53.968","Right Eye 1 casts  attack on Soft Enrage",""
"05:53.968","Left Eye 1 casts  attack on Serena Nyx",""
"05:57.091","Right Eye 1 casts  attack on Soft Enrage",""
"05:57.091","Left Eye 1 casts  attack on Serena Nyx",""
"06:03.262","Right Eye 1 casts  Mirage Dive on Right Eye 1",""
"06:03.262","Left Eye 1 casts  Mirage Dive on Left Eye 1",""
"06:04.068","Nidhogg 6 casts  Mirage Dive on Cleon Vortigern",""
"06:04.068","Nidhogg 7 casts  Mirage Dive on Eazy Peazy",""
"06:07.507","Right Eye 1 casts  attack on Soft Enrage",""
"06:07.507","Left Eye 1 casts  attack on Serena Nyx",""
"06:09.204","Nidhogg 6 casts  Mirage Dive on Watashia Kamidesu",""
"06:09.204","Nidhogg 7 casts  Mirage Dive on Alex Sarudani",""
"06:10.634","Right Eye 1 casts  attack on Soft Enrage",""
"06:10.634","Left Eye 1 casts  attack on Serena Nyx",""
"06:13.805","Right Eye 1 casts  attack on Soft Enrage",""
"06:13.805","Left Eye 1 casts  attack on Serena Nyx",""
"06:14.341","Nidhogg 6 casts  Mirage Dive on Alexor Cy",""
"06:14.341","Nidhogg 7 casts  Mirage Dive on Serena Nyx",""
"06:16.978","Right Eye 1 casts  attack on Soft Enrage",""
"06:16.978","Left Eye 1 casts  attack on Serena Nyx",""
"06:19.484","Nidhogg 6 casts  Mirage Dive on Eazy Peazy",""
"06:19.484","Nidhogg 7 casts  Mirage Dive on Unit Rei",""
"06:20.108","Right Eye 1 casts  attack on Soft Enrage",""
"06:23.283","Right Eye 1 begins casting  Steep in Rage on Right Eye 1 (5.70 sec)",""
"06:46.873","Ser Grinnaux 2 casts  Planar Prison",""
"06:46.873","Ser Adelphel 2 casts  Brightwinged Flight on Ser Charibert 2",""
"06:47.407","Ser Charibert 2 begins casting  Pure of Heart on Ser Charibert 2 (35.20 sec)",""
"06:48.837","Ser Grinnaux 9 casts  Planar Prison",""
"06:49.193","Ser Grinnaux 9 casts  Planar Prison",""
"06:49.550","Ser Grinnaux 9 casts  Planar Prison",""
"06:49.906","Ser Grinnaux 9 casts  Planar Prison",""
"06:50.263","Ser Grinnaux 9 casts  Planar Prison",""
"06:50.620","Ser Grinnaux 9 casts  Planar Prison",""
"06:50.978","Ser Grinnaux 9 casts  Planar Prison",""
"06:51.336","Ser Grinnaux 9 casts  Planar Prison",""
"06:51.694","Ser Grinnaux 9 casts  Planar Prison",""
"06:52.049","Ser Grinnaux 9 casts  Planar Prison",""
"06:52.406","Ser Grinnaux 9 casts  Planar Prison",""
"06:52.761","Ser Grinnaux 9 casts  Planar Prison",""
"06:53.118","Ser Grinnaux 9 casts  Planar Prison",""
"06:53.476","Ser Grinnaux 9 casts  Planar Prison",""
"06:53.832","Ser Grinnaux 9 casts  Planar Prison",""
"06:54.189","Ser Grinnaux 9 casts  Planar Prison",""
"06:54.546","Ser Grinnaux 9 casts  Planar Prison",""
"06:54.903","Ser Grinnaux 9 casts  Planar Prison",""
"06:55.261","Ser Grinnaux 9 casts  Planar Prison",""
"06:55.619","Ser Grinnaux 9 casts  Planar Prison",""
"06:55.976","Ser Grinnaux 9 casts  Planar Prison",""
"06:56.333","Ser Grinnaux 9 casts  Planar Prison",""
"06:56.690","Ser Grinnaux 9 casts  Planar Prison",""
"06:56.868","Ser Zephirin 2 casts  Spear of the Fury on Haurchefant 2",""
"06:57.046","Ser Grinnaux 9 casts  Planar Prison",""
"06:57.403","Ser Grinnaux 9 casts  Planar Prison",""
"06:57.760","Ser Grinnaux 9 casts  Planar Prison",""
"06:58.114","Ser Grinnaux 9 casts  Planar Prison",""
"06:58.469","Ser Grinnaux 9 casts  Planar Prison",""
"06:58.693","Spear of the Fury casts  Shockwave",""
"06:58.825","Ser Grinnaux 9 casts  Planar Prison",""
"06:59.182","Ser Grinnaux 9 casts  Planar Prison",""
"06:59.540","Ser Grinnaux 9 casts  Planar Prison",""
"06:59.762","Spear of the Fury casts  Shockwave",""
"06:59.895","Ser Grinnaux 9 casts  Planar Prison",""
"07:00.251","Ser Grinnaux 9 casts  Planar Prison",""
"07:00.608","Ser Grinnaux 9 casts  Planar Prison",""
"07:00.831","Spear of the Fury casts  Shockwave",""
"07:00.964","Ser Grinnaux 9 casts  Planar Prison",""
"07:01.321","Ser Grinnaux 9 casts  Planar Prison",""
"07:01.678","Ser Grinnaux 9 casts  Planar Prison",""
"07:01.900","Spear of the Fury casts  Shockwave",""
"07:02.033","Ser Grinnaux 9 casts  Planar Prison",""
"07:02.389","Ser Grinnaux 9 casts  Planar Prison",""
"07:02.746","Ser Hermenost 5 casts  Brightwing on Alex Sarudani",""
"07:02.746","Ser Grinnaux 9 casts  Planar Prison",""
"07:02.746","King Thordan 7 casts  Brightwing on Watashia Kamidesu",""
"07:02.967","Spear of the Fury casts  Shockwave",""
"07:03.101","Ser Grinnaux 9 casts  Planar Prison",""
"07:03.457","Ser Grinnaux 9 casts  Planar Prison",""
"07:03.813","Ser Grinnaux 9 casts  Planar Prison",""
"07:04.036","Spear of the Fury casts  Shockwave",""
"07:04.169","Ser Grinnaux 9 casts  Planar Prison",""
"07:04.527","Ser Grinnaux 9 casts  Planar Prison",""
"07:04.884","Ser Grinnaux 9 casts  Planar Prison",""
"07:05.107","Spear of the Fury casts  Shockwave",""
"07:05.240","Ser Grinnaux 9 casts  Planar Prison",""
"07:05.596","Ser Grinnaux 9 casts  Planar Prison",""
"07:05.954","Ser Grinnaux 9 casts  Planar Prison",""
"07:06.176","Spear of the Fury casts  Shockwave",""
"07:06.310","Ser Grinnaux 9 casts  Planar Prison",""
"07:06.667","Ser Grinnaux 9 casts  Planar Prison",""
"07:07.027","Ser Grinnaux 9 casts  Planar Prison",""
"07:07.250","Spear of the Fury casts  Shockwave",""
"07:07.384","Ser Grinnaux 9 casts  Planar Prison",""
"07:07.742","Ser Grinnaux 9 casts  Planar Prison",""
"07:07.786","Ser Charibert 10 casts  Brightwing on Unit Rei",""
"07:07.786","Ser Charibert 11 casts  Brightwing on Alexor Cy",""
"07:08.097","Ser Grinnaux 9 casts  Planar Prison",""
"07:08.319","Spear of the Fury casts  Shockwave",""
"07:08.452","Ser Grinnaux 9 casts  Planar Prison",""
"07:08.809","Ser Grinnaux 9 casts  Planar Prison",""
"07:09.166","Ser Grinnaux 9 casts  Planar Prison",""
"07:09.387","Spear of the Fury casts  Shockwave",""
"07:09.520","Ser Grinnaux 9 casts  Planar Prison",""
"07:09.877","Ser Grinnaux 9 casts  Planar Prison",""
"07:10.232","Ser Grinnaux 9 casts  Planar Prison",""
"07:10.454","Spear of the Fury casts  Shockwave",""
"07:10.587","Ser Grinnaux 9 casts  Planar Prison",""
"07:10.719","Ser Charibert 12 casts  Skyblind",""
"07:10.719","Ser Charibert 13 casts  Skyblind",""
"07:10.944","Ser Grinnaux 9 casts  Planar Prison",""
"07:11.299","Ser Grinnaux 9 casts  Planar Prison",""
"07:11.522","Spear of the Fury casts  Shockwave",""
"07:11.655","Ser Grinnaux 9 casts  Planar Prison",""
"07:12.010","Ser Grinnaux 9 casts  Planar Prison",""
"07:12.367","Ser Grinnaux 9 casts  Planar Prison",""
"07:12.589","Spear of the Fury casts  Shockwave",""
"07:12.722","Ser Grinnaux 9 casts  Planar Prison",""
"07:12.811","Ser Charibert 10 casts  Brightwing on Cleon Vortigern",""
"07:12.811","Ser Charibert 11 casts  Brightwing on Eazy Peazy",""
"07:13.079","Ser Grinnaux 9 casts  Planar Prison",""
"07:13.435","Ser Grinnaux 9 casts  Planar Prison",""
"07:13.658","Spear of the Fury casts  Shockwave",""
"07:13.791","Ser Grinnaux 9 casts  Planar Prison",""
"07:14.148","Ser Grinnaux 9 casts  Planar Prison",""
"07:14.506","Ser Grinnaux 9 casts  Planar Prison",""
"07:14.728","Spear of the Fury casts  Shockwave",""
"07:14.861","Ser Grinnaux 9 casts  Planar Prison",""
"07:15.216","Ser Grinnaux 9 casts  Planar Prison",""
"07:15.573","Ser Grinnaux 9 casts  Planar Prison",""
"07:15.752","Ser Charibert 12 casts  Skyblind",""
"07:15.752","Ser Charibert 13 casts  Skyblind",""
"07:15.796","Spear of the Fury casts  Shockwave",""
"07:15.930","Ser Grinnaux 9 casts  Planar Prison",""
"07:16.286","Ser Grinnaux 9 casts  Planar Prison",""
"07:16.641","Ser Grinnaux 9 casts  Planar Prison",""
"07:16.864","Spear of the Fury casts  Shockwave",""
"07:16.998","Ser Grinnaux 9 casts  Planar Prison",""
"07:17.354","Ser Grinnaux 9 casts  Planar Prison",""
"07:17.712","Ser Grinnaux 9 casts  Planar Prison",""
"07:17.846","Ser Charibert 10 casts  Brightwing on Soft Enrage",""
"07:17.846","Ser Charibert 11 casts  Brightwing on Serena Nyx",""
"07:17.935","Spear of the Fury casts  Shockwave",""
"07:18.068","Ser Grinnaux 9 casts  Planar Prison",""
"07:18.426","Ser Grinnaux 9 casts  Planar Prison",""
"07:18.784","Ser Grinnaux 9 casts  Planar Prison",""
"07:19.006","Spear of the Fury casts  Shockwave",""
"07:19.140","Ser Grinnaux 9 casts  Planar Prison",""
"07:19.496","Ser Grinnaux 9 casts  Planar Prison",""
"07:19.851","Ser Grinnaux 9 casts  Planar Prison",""
"07:20.075","Spear of the Fury casts  Shockwave",""
"07:20.788","Ser Charibert 12 casts  Skyblind",""
"07:20.788","Ser Charibert 13 casts  Skyblind",""
"07:21.145","Spear of the Fury casts  Shockwave",""
"07:22.217","Spear of the Fury casts  Shockwave",""
"07:22.886","Ser Charibert 2 casts  Pure of Heart",""
"07:23.287","Spear of the Fury casts  Shockwave",""
"07:24.360","Spear of the Fury casts  Shockwave",""
"07:25.433","Spear of the Fury casts  Shockwave",""
"07:25.789","Ser Charibert 14 casts  Skyblind",""
"07:25.789","Ser Charibert 11 casts  Skyblind",""
"07:26.503","Spear of the Fury casts  Shockwave",""
"07:27.575","Spear of the Fury begins casting  Pierce on Haurchefant 2 (10.70 sec)",""
"07:55.863","King Thordan 1 casts  Incarnation on King Thordan 1",""
"08:02.007","King Thordan 1 casts  the Dragon's Eye on King Thordan 1",""
"08:06.419","King Thordan 1 casts  attack on Soft Enrage",""
"08:09.399","King Thordan 1 casts  attack on Soft Enrage",""
"08:12.556","King Thordan 1 casts  unknown_63c4",""
"08:13.670","King Thordan 1 casts  Knights of the Round on King Thordan 1",""
"08:20.754","King Thordan 1 casts  Wrath of the Heavens on King Thordan 1",""
"08:30.246","Darkscale casts  Chain Lightning",""
"08:32.608","Vedrfolnir casts  Twisting Dive",""
"08:32.653","Ser Paulecrain 2 casts  Skyward Leap on Cleon Vortigern",""
"08:32.653","Ser Vellguine 2 casts  Spiral Pierce",""
"08:32.697","Ser Ignasse 2 casts  Spiral Pierce on Unit Rei",""
"08:38.141","King Thordan 1 casts  Ascalon's Mercy Revealed on King Thordan 1",""
"08:38.947","Ser Charibert 9 casts  Ascalon's Mercy Revealed on Alexor Cy",""
"08:38.947","Ser Hermenost 1 casts  Ascalon's Mercy Revealed on Unit Rei",""
"08:38.947","Ser Hermenost 2 casts  Ascalon's Mercy Revealed on Watashia Kamidesu",""
"08:38.948","Ser Hermenost 7 casts  Ascalon's Mercy Revealed on Soft Enrage",""
"08:38.948","Ser Charibert 12 casts  Ascalon's Mercy Revealed on  Alex Sarudani",""
"08:38.948","Ser Charibert 10 casts  Ascalon's Mercy Revealed on  Serena Nyx",""
"08:38.948","Ser Charibert 13 casts  Ascalon's Mercy Revealed on Eazy Peazy",""
"08:38.948","Ser Charibert 11 casts  Ascalon's Mercy Revealed",""
"08:38.990","Vedrfolnir casts  Liquid Heaven",""
"08:40.145","Vedrfolnir casts  Liquid Heaven",""
